text,label
Ad sales boost Time Warner profit,0
Dollar gains on Greenspan speech,0
Yukos unit buyer faces loan claim,0
High fuel prices hit BA's profits,0
Pernod takeover talk lifts Domecq,0
Japan narrowly escapes recession,0
Jobs growth still slow in the US,0
India calls for fair trade rules,0
Ethiopia's crop production up 24%,0
Court rejects $280bn tobacco case,0
Ask Jeeves tips online ad revival,0
Indonesians face fuel price rise,0
Peugeot deal boosts Mitsubishi,0
Telegraph newspapers axe 90 jobs,0
Air passengers win new EU rights,0
China keeps tight rein on credit,0
Parmalat boasts doubled profits,0
India's rupee hits five-year high,0
India widens access to telecoms,0
Call centre users 'lose patience',0
Rank 'set to sell off film unit',0
Sluggish economy hits German jobs,0
Mixed signals from French economy,0
US trade gap hits record in 2004,0
Yukos loses US bankruptcy battle,0
Safety alert as GM recalls cars,0
"Steel firm 'to cut' 45,000 jobs",0
Strong demand triggers oil rally,0
UK firm faces Venezuelan land row,0
Soaring oil 'hits world economy',0
Irish markets reach all-time high,0
Japanese banking battle at an end,0
Rich grab half Colombia poor fund,0
"Rover deal 'may cost 2,000 jobs'",0
Ad firm WPP's profits surge 15%,0
US gives foreign firms extra time,0
Japanese mogul arrested for fraud,0
Deutsche Telekom sees mobile gain,0
Chinese wine tempts Italy's Illva,0
Umbro profits lifted by Euro 2004,0
Fed chief warning on US deficit,0
UK Coal plunges into deeper loss,0
Saudi ministry to employ women,0
Japan economy slides to recession,0
US crude prices surge above $53,0
Industrial output falls in Japan,0
Ryanair in $4bn Boeing plane deal,0
Parmalat to return to stockmarket,0
BMW cash to fuel Mini production,0
Bad weather hits Nestle sales,0
Fiat mulls Ferrari market listing,0
Italy to get economic action plan,0
Weak dollar hits Reuters,0
Hyundai to build new India plant,0
SA unveils 'more for all' budget,0
BMW drives record sales in Asia,0
Economy 'stronger than forecast',0
Electrolux to export Europe jobs,0
Worldcom ex-boss launches defence,0
Insurance bosses plead guilty,0
Further rise in UK jobless total,0
Wembley firm won't make a profit,0
Cars pull down US retail figures,0
Lufthansa may sue over Bush visit,0
EU aiming to fuel development aid,0
German business confidence slides,0
FAO warns on impact of subsidies,0
India seeks to boost construction,0
Boeing unveils new 777 aircraft,0
Circuit City gets takeover offer,0
Japan turns to beer alternatives,0
S Korean consumers spending again,0
German growth goes into reverse,0
Turkey-Iran mobile deal 'at risk',0
EU ministers to mull jet fuel tax,0
Palestinian economy in decline,0
China had role in Yukos split-up,0
Deadline nears for Fiat-GM deal,0
ID theft surge hits US consumers,0
"Argentina, Venezuela in oil deal",0
BMW to recall faulty diesel cars,0
Takeover rumour lifts Exel shares,0
Yukos accused of lying to court,0
Mexican in US send $16bn home,0
Home loan approvals rising again,0
Manufacturing recovery 'slowing',0
Worldcom boss 'left books alone',0
Metlife buys up Citigroup insurer,0
Europe blames US over weak dollar,0
French wine gets 70m euro top-up,0
Russia gets investment blessing,0
Iranian MPs threaten mobile deal,0
Argentina closes $102.6bn debt swap,0
US economy shows solid GDP growth,0
Profits slide at India's Dr Reddy,0
Burren awarded Egyptian contracts,0
'Strong dollar' call halts slide,0
IMF 'cuts' German growth estimate,0
"GM, Ford cut output as sales fall",0
Ebbers denies WorldCom fraud,0
Australia rates at four year high,0
US company admits Benin bribery,0
"US insurer Marsh cuts 2,500 jobs",0
US seeks new $280bn smoker ruling,0
Budget Aston takes on Porsche,0
Golden rule 'intact' says ex-aide,0
Liberian economy starts to grow,0
Slowdown hits US factory growth,0
Lufthansa flies back to profit,0
Japanese growth grinds to a halt,0
Unilever shake up as profit slips,0
France Telecom gets Orange boost,0
Brussels raps mobile call charges,0
WorldCom director admits lying,0
Glaxo aims high after profit fall,0
Japan bank shares up on link talk,0
Car giant hit by Mercedes slump,0
Ericsson sees earnings improve,0
Bank opts to leave rates on hold,0
Nigeria to boost cocoa production,0
US interest rates increased to 2%,0
US bank in $515m SEC settlement,0
Train strike grips Buenos Aires,0
Bargain calls widen Softbank loss,0
WMC profits up amid bid criticism,0
Barclays profits hit record level,0
Yukos owner sues Russia for $28bn,0
Qantas sees profits fly to record,0
Iraq to invite phone licence bids,0
Aviation firms eye booming India,0
Russian oil merger excludes Yukos,0
Brazil buy boosts Belgium's Inbev,0
Salary scandal in Cameroon,0
US adds more jobs than expected,0
Feta cheese battle reaches court,0
Ukraine revisits state sell-offs,0
Bank set to leave rates on hold,0
Winter freeze keeps oil above $50,0
German jobless rate at new record,0
Ore costs hit global steel firms,0
BMW reveals new models pipeline,0
Asian banks halt dollar's slide,0
Weak dollar trims Cadbury profits,0
Oil prices fall back from highs,0
Winn-Dixie files for bankruptcy,0
Why few targets are better than many,0
Malaysia lifts Islamic bank limit,0
Alfa Romeos 'to get GM engines',0
Saab to build Cadillacs in Sweden,0
Shares hit by MS drug suspension,0
Bank voted 8-1 for no rate change,0
Crude oil prices back above $50,0
House prices show slight increase,0
Golden rule boost for Chancellor,0
Macy's owner buys rival for $11bn,0
Industrial revival hope for Japan,0
Khodorkovsky ally denies charges,0
Qatar and Shell in $6bn gas deal,0
India unveils anti-poverty budget,0
GM pays $2bn to evade Fiat buyout,0
Ex-Boeing director gets jail term,0
Verizon 'seals takeover of MCI',0
US data sparks inflation worries,0
Yukos sues four firms for $20bn,0
Consumer spending lifts US growth,0
Crossrail link 'to get go-ahead',0
Hariri killing hits Beirut shares,0
Small firms 'hit by rising costs',0
Buyers snap up Jet Airways' shares,0
House prices suffer festive fall,0
Deutsche Boerse boosts dividend,0
Newest EU members underpin growth,0
Brewers' profits lose their fizz,0
Yangtze Electric's profits double,0
French consumer spending rising,0
GSK aims to stop Aids profiteers,0
Optimism remains over UK housing,0
Russia WTO talks 'make progress',0
Irish duo could block Man Utd bid,0
Dollar drops on reserves concerns,0
India and Russia in energy talks,0
Weak data buffets French economy,0
Business fears over sluggish EU economy,0
M&S cuts prices by average of 24%,0
US bank 'loses' customer details,0
Huge rush for Jet Airways shares,0
Bank payout to Pinochet victims,0
Qwest may spark MCI bidding war,0
Fiat chief takes steering wheel,0
Consumers drive French economy,0
US regulator to rule on pain drug,0
Yukos bankruptcy 'not US matter',0
Borussia Dortmund near bust,0
'Post-Christmas lull' in lending,0
UK 'risks breaking golden rule',0
Worldcom director ends evidence,0
Ukraine steel sell-off 'illegal',0
Cairn shares up on new oil find,0
Georgia plans hidden asset pardon,0
Cuba winds back economic clock,0
